ens_gene,target_id,pval,qval,test_stat,rss,degrees_free,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
WBGene00000781,cpr-1,1.3427689754426759e-8,4.246812059604608e-6,39.52607729624391,9.143361989805426,3,7.041470323042956,0.8312147263459467,0.0012935041319059213,0.829921222214042,0.028847963715256112,0.829921222214042
WBGene00009221,acs-2,1.7516786868298866e-8,5.416969023538823e-6,38.98117248846302,55.39670922404742,3,3.3554579858780307,5.036064474913402,0.23725699039794412,4.798807484515457,0.07288643413280042,4.798807484515457
WBGene00001768,gst-20,2.086052542738023e-8,6.310762431465724e-6,38.62298597198583,9.55750014449455,3,5.391711205061271,0.8688636494995047,0.005730583723411242,0.8631330657760933,0.038157883279012476,0.8631330657760933
WBGene00017335,F10D2.10,2.2843744705782587e-8,6.763692581397244e-6,38.43674826958989,13.064919332857535,3,3.770670837014231,1.187719939350685,0.046846284183263,1.140873655167422,0.06379773418878017,1.140873655167422
WBGene00008436,DH11.2,2.5149280670546184e-8,7.291195621069181e-6,38.239550060314514,15.262657509388765,3,4.221742697751587,1.3875143190353412,0.043143579014837806,1.3443707400205045,0.055045705950199364,1.3443707400205045
WBGene00010659,K08D8.5,2.7363939666751715e-8,7.771358865357487e-6,38.066440222701296,6.677064304363177,3,4.608470700571241,0.6070058458511992,0.011444212513178408,0.5955616333380195,0.04845420448913598,0.5955616333380195
WBGene00018393,msra-1,3.042103007280393e-8,8.46678108986279e-6,37.84918045522221,20.501419495384543,3,6.23727524599572,1.8637654086713213,0.004461400114037543,1.8593040085572845,0.031101217534935267,1.8593040085572845
WBGene00002274,lec-11,3.137535287219774e-8,8.561164913127525e-6,37.78581006016481,4.468142382830283,3,5.1437204296488,0.40619476207548083,0.00876485866282423,0.39742990341265605,0.041020733130697165,0.39742990341265605
WBGene00015932,C17H12.6,3.3284904209535714e-8,8.907552441921135e-6,37.66459238515318,30.36297200661752,3,3.0087998039543633,2.7602701824197755,0.15981041124899492,2.6004597711707795,0.08995852034716406,2.6004597711707795
WBGene00017881,asp-13,4.724879159149158e-8,1.2405927995984848e-5,36.945631697116546,5.619107587348512,3,6.703471810523566,0.5108279624862279,0.0017297079539557632,0.5090982545322725,0.029168420599298105,0.5090982545322725
WBGene00017658,F21C10.9,4.962058130299591e-8,1.2787407581712797e-5,36.845086245496034,27.680346100367434,3,3.477360956819691,2.5163951000334026,0.14484139164371673,2.3715537083896865,0.06938401492652811,2.3715537083896865
WBGene00009914,F49H6.13,5.443556854059692e-8,1.377318857838085e-5,36.65494920225627,48.805902810901486,3,1.4675190276310623,4.436900255536499,0.06236047653656382,4.374539778999935,0.3799773512131651,4.374539778999935
WBGene00003704,nhr-114,5.673906446579535e-8,1.4086700016461211e-5,36.56985222509072,6.441763480360343,3,5.925847419871561,0.5856148618509395,0.006834486984484071,0.5787803748664563,0.033155282371319816,0.5787803748664563
WBGene00003095,lys-6,5.769918805247837e-8,1.4086700016461211e-5,36.53539706216647,38.49610618563403,3,2.1863496651550656,3.4996460168758206,0.13715592242879826,3.3624900944470224,0.17796695746041555,3.3624900944470224
WBGene00001155,ech-6,6.928918694143034e-8,1.6624626301326632e-5,36.159490348096156,5.509046896191463,3,7.3774799922969665,0.5008224451083133,9.517128378450786e-4,0.4998707322704698,0.029135884444243174,0.4998707322704698
WBGene00010055,F54D5.12,7.114730235521824e-8,1.678111626398673e-5,36.10513600672222,4.189148590778783,3,6.64021729333745,0.38083169007079737,0.0016264647360849699,0.37920522533471346,0.029335142657895243,0.37920522533471346
WBGene00009334,F32D8.12,7.356838334450521e-8,1.6859544097009525e-5,36.03640235997964,10.909985625063383,3,5.508967591054071,0.9918168750057611,0.006969648154261837,0.9848472268515003,0.03695005352001949,0.9848472268515003
WBGene00001477,fmo-2,7.390285929272642e-8,1.6859544097009525e-5,36.02708472880318,51.44347441707178,3,2.570972132292561,4.676679492461071,0.2783016604797384,4.398377831981333,0.12506750032459202,4.398377831981333
WBGene00007872,C32H11.9,8.923091154167284e-8,2.0028022016353535e-5,35.63988496344615,102.91994787822118,3,2.9096234121011837,9.356358898020106,0.1905766782218946,9.165782219798212,0.09635177026860312,9.165782219798212
WBGene00020516,T15B7.1,9.959098442669903e-8,2.1998541893364184e-5,35.41417410814257,5.844479721889492,3,5.82316922088642,0.5313163383535894,0.005740533540375504,0.5255758048132146,0.034009578966763425,0.5255758048132146
WBGene00016845,C50F7.5,1.1698166654769591e-7,2.543620111996463e-5,35.083390551978354,9.275691489725272,3,4.2016572660561495,0.8432446808841164,0.022840498324333613,0.820404182559782,0.05543064352421007,0.820404182559782
WBGene00013866,cbs-1,1.2041195131304312e-7,2.5779272530343197e-5,35.02398193103312,2.9670917327086697,3,5.567972139374144,0.2697356120644249,0.0041759900227393565,0.26555962204168515,0.036375835844511116,0.26555962204168515
WBGene00009226,cyp-37B1,1.240322216862552e-7,2.6152006014938293e-5,34.963088443790106,17.240245095477896,3,3.000044493533181,1.5672950086798096,0.10497289947404749,1.4623221092057612,0.09049467620643967,1.4623221092057612
WBGene00007947,C35A5.3,1.290758169959649e-7,2.680923984053504e-5,34.881149003296194,8.66729457725189,3,4.8138558750100335,0.7879358706592626,0.010689002102902578,0.7772468685563603,0.04541879194670438,0.7772468685563603
WBGene00012961,Y47H10A.5,1.437341394504461e-7,2.9414768891064824e-5,34.659995517105486,7.38861544650342,3,4.477887984827659,0.6716923133184929,0.014416557363164929,0.6572757559553277,0.05052794335243082,0.6572757559553277
WBGene00010658,K08D8.4,1.4641624587257075e-7,2.9529398225546297e-5,34.62198011578336,6.575519550650686,3,4.419650480194202,0.5977745046046079,0.013461470746643105,0.5843130338579647,0.05149771135452583,0.5843130338579647
WBGene00020579,T19D12.4,1.493700225275311e-7,2.9694760478473187e-5,34.58091040388002,7.722151944847368,3,6.745469617488062,0.7020138131679429,0.001877840915412879,0.7001359722525297,0.02907808367398772,0.7001359722525297
WBGene00018760,irg-3,1.5458609011052942e-7,2.9878055971918436e-5,34.51032721858357,13.187631536368508,3,5.024361725668089,1.1988755942153198,0.016103462114889684,1.1827721321004292,0.042539138482222405,1.1827721321004292
WBGene00010124,F55G11.4,1.5432980196211892e-7,2.9878055971918436e-5,34.51373935151487,4.098279914361779,3,5.32351722003382,0.37257090130561704,0.006004740531844676,0.3665661607737716,0.038904238546082236,0.3665661607737716
WBGene00003092,lys-3,1.795271327048295e-7,3.4223281900279555e-5,34.202703541049104,29.547221790432122,3,2.8919959984724186,2.6861110718574657,0.1694204225301668,2.5166906493272987,0.09756642323406048,2.5166906493272987
WBGene00009397,clec-66,1.954038974064483e-7,3.674649508524506e-5,34.02838529356928,3.508835716292957,3,5.276366630956419,0.31898506511754204,0.006622140059594756,0.31236292505794677,0.03943870857778417,0.31236292505794677
WBGene00015894,acdh-2,2.0647014293787962e-7,3.830984678831377e-5,33.915055984589245,61.962134804135026,3,3.283506881228593,5.632921345830457,0.2583529885617717,5.374568357268686,0.07555893122371286,5.374568357268686
WBGene00007331,pho-11,2.1069674184312112e-7,3.85796823616957e-5,33.873364718901875,2.150186718294231,3,6.81377868423699,0.19547151984493064,0.0011657347834840492,0.19430578506144602,0.028968119449906498,0.19430578506144602
WBGene00021337,Y34F4.2,2.203689438961337e-7,3.982667822413762e-5,33.78101678068167,46.30642181915043,3,1.219194661152731,4.209674710831857,0.02149847540424742,4.188176235427609,0.5015327563948924,4.188176235427609
WBGene00018803,fbxa-24,2.3590203147923057e-7,4.2087341923909906e-5,33.640859395116536,6.517255466514671,3,4.6778844468884735,0.5924777696831531,0.01300348364928375,0.5794742860338682,0.04740104156079899,0.5794742860338682
